Month,Max_kW,Median_kW,Min_Q1_kW
February,135.16483516483515,21.97802197802196,7.692307692307651
March,160.98901098901098,35.164835164835154,9.340659340659329
April,160.98901098901098,36.26373626373626,9.340659340659329
May,160.98901098901098,36.8131868131868,9.340659340659329
June,185.16483516483515,48.90109890109892,7.692307692307651
July,184.61538461538464,48.90109890109892,7.692307692307651
August,184.06593406593407,48.90109890109892,7.692307692307651
September,184.61538461538464,21.97802197802196,7.14285714285711
October,135.16483516483515,21.97802197802196,7.692307692307651
November,135.16483516483515,21.97802197802196,7.692307692307651
December,135.71428571428572,21.97802197802196,7.692307692307651
