Month,min_q1,median,q3,max
January,7.692307692307651,21.97802197802196,135.16483516483515,135.16483516483515
February,7.692307692307651,21.97802197802196,135.16483516483515,135.16483516483515
March,9.340659340659329,35.164835164835154,159.34065934065933,160.98901098901098
April,9.340659340659329,36.26373626373626,160.43956043956047,160.98901098901098
May,9.340659340659329,36.8131868131868,160.98901098901098,160.98901098901098
June,7.692307692307651,48.90109890109892,182.4175824175824,185.16483516483515
July,7.692307692307651,48.90109890109892,184.61538461538464,184.61538461538464
August,7.692307692307651,48.90109890109892,184.06593406593407,184.06593406593407
September,7.14285714285711,21.97802197802196,136.8131868131868,184.61538461538464
October,7.692307692307651,21.97802197802196,134.6153846153846,135.16483516483515
November,7.692307692307651,21.97802197802196,134.6153846153846,135.16483516483515
December,7.692307692307651,21.97802197802196,134.6153846153846,135.71428571428572
