-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Latitude  -32.8089   Longitude 28.136 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 63.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,WS10M
2025,1,1,0,0.0,0.0,0.0,21.31,4.32
2025,1,1,1,0.0,0.0,0.0,21.01,4.17
2025,1,1,2,0.0,0.0,0.0,20.7,3.9
2025,1,1,3,0.0,0.0,0.0,20.4,3.57
2025,1,1,4,0.0,0.0,0.0,20.16,3.27
2025,1,1,5,11.85,19.91,12.56,20.25,3.19
2025,1,1,6,82.57,37.19,63.17,20.84,3.14
2025,1,1,7,176.65,46.61,119.07,21.52,2.71
2025,1,1,8,294.8,30.21,238.77,22.16,1.92
2025,1,1,9,448.73,103.52,307.92,22.66,1.19
2025,1,1,10,610.12,63.02,488.43,23.11,1.15
2025,1,1,11,818.5,276.04,439.31,23.5,1.71
2025,1,1,12,900.08,400.4,390.8,23.71,2.76
2025,1,1,13,843.0,505.8,300.35,23.75,3.98
2025,1,1,14,752.35,768.35,144.34,23.68,4.85
2025,1,1,15,578.95,504.21,237.38,23.57,5.3
2025,1,1,16,410.88,620.44,100.76,23.43,5.63
2025,1,1,17,226.05,304.75,118.34,23.29,5.97
2025,1,1,18,69.97,107.32,53.56,23.1,6.17
2025,1,1,19,0.0,0.0,0.0,22.86,6.17
2025,1,1,20,0.0,0.0,0.0,22.83,6.24
2025,1,1,21,0.0,0.0,0.0,22.82,5.9
2025,1,1,22,0.0,0.0,0.0,22.78,5.03
2025,1,1,23,0.0,0.0,0.0,22.7,3.53
2025,1,2,0,0.0,0.0,0.0,22.75,2.12
2025,1,2,1,0.0,0.0,0.0,22.8,1.13
2025,1,2,2,0.0,0.0,0.0,22.66,0.67
2025,1,2,3,0.0,0.0,0.0,22.52,1.73
2025,1,2,4,0.0,0.0,0.0,22.43,2.45
2025,1,2,5,18.3,10.7,19.24,22.56,3.18
2025,1,2,6,102.7,66.49,86.37,22.88,4.15
2025,1,2,7,256.52,53.28,203.83,23.17,4.88
2025,1,2,8,430.0,118.89,302.68,23.48,5.42
2025,1,2,9,521.15,148.51,347.16,23.78,5.7
2025,1,2,10,609.25,259.55,354.13,23.93,5.74
2025,1,2,11,594.22,186.63,359.66,23.99,5.38
2025,1,2,12,744.9,333.6,328.81,24.0,4.81
2025,1,2,13,480.83,106.81,339.9,24.01,4.32
2025,1,2,14,494.17,275.68,244.65,23.98,4.15
2025,1,2,15,307.08,185.97,182.6,23.88,4.45
2025,1,2,16,175.32,180.5,93.56,23.7,4.98
2025,1,2,17,154.75,288.26,57.19,23.5,5.45
2025,1,2,18,62.3,107.73,42.69,23.37,5.49
2025,1,2,19,0.0,0.0,0.0,23.29,5.46
2025,1,2,20,0.0,0.0,0.0,23.37,5.65
2025,1,2,21,0.0,0.0,0.0,23.46,5.82
2025,1,2,22,0.0,0.0,0.0,23.51,6.03
2025,1,2,23,0.0,0.0,0.0,23.47,6.12
2025,1,3,0,0.0,0.0,0.0,23.4,6.16
2025,1,3,1,0.0,0.0,0.0,23.38,6.12
2025,1,3,2,0.0,0.0,0.0,23.38,5.87
2025,1,3,3,0.0,0.0,0.0,23.41,5.5
2025,1,3,4,0.0,0.0,0.0,23.5,5.26
2025,1,3,5,18.02,53.27,14.69,23.81,5.19
2025,1,3,6,172.05,392.31,76.06,24.38,5.46
2025,1,3,7,370.05,564.79,109.65,24.9,5.77
2025,1,3,8,588.53,719.69,124.5,25.46,5.95
2025,1,3,9,763.42,742.43,157.77,26.04,6.02
