Latitude (decimal degrees):	-27.431
Longitude (decimal degrees):	32.066
Elevation (m):	255
Radiation database:	PVGIS-SARAH3


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0003,0.0,0.0,0.0,0.0,19.39,0.97,0.0
20230101:0103,0.0,0.0,0.0,0.0,19.52,0.9,0.0
20230101:0203,0.0,0.0,0.0,0.0,19.7,0.9,0.0
20230101:0303,0.0,0.0,0.0,0.0,19.49,0.97,0.0
20230101:0403,9.18,66.36,2.37,12.01,19.97,0.9,0.0
20230101:0503,317.7,113.26,11.75,24.74,20.9,1.24,0.0
20230101:0603,20.36,242.15,8.96,37.77,21.59,1.52,0.0
20230101:0703,81.48,350.47,15.11,51.0,23.35,1.93,0.0
20230101:0803,31.54,381.16,14.41,64.31,24.18,1.66,0.0
20230101:0903,44.16,427.83,16.64,77.41,25.13,1.45,0.0
20230101:1003,49.6,441.38,17.37,85.23,25.36,1.31,0.0
20230101:1103,69.72,435.18,17.98,74.04,25.54,1.66,0.0
20230101:1203,0.0,231.95,7.97,60.83,26.0,1.72,0.0
20230101:1303,371.23,207.32,21.09,47.53,25.11,3.03,0.0
20230101:1403,1.78,169.83,5.89,34.34,24.51,3.52,0.0
20230101:1503,56.15,153.65,6.36,21.37,23.71,3.31,0.0
20230101:1603,119.39,67.93,3.05,8.75,22.73,2.69,0.0
20230101:1703,0.0,0.0,0.0,0.0,21.38,1.86,0.0
20230101:1803,0.0,0.0,0.0,0.0,20.39,1.17,0.0
20230101:1903,0.0,0.0,0.0,0.0,20.29,0.28,0.0
20230101:2003,0.0,0.0,0.0,0.0,19.76,0.62,0.0
20230101:2103,0.0,0.0,0.0,0.0,19.16,0.69,0.0
20230101:2203,0.0,0.0,0.0,0.0,18.76,0.76,0.0
20230101:2303,0.0,0.0,0.0,0.0,18.47,0.76,0.0
20230102:0003,0.0,0.0,0.0,0.0,18.29,0.69,0.0
20230102:0103,0.0,0.0,0.0,0.0,17.87,0.83,0.0
20230102:0203,0.0,0.0,0.0,0.0,17.14,1.03,0.0
20230102:0303,0.0,0.0,0.0,0.0,16.76,1.1,0.0
20230102:0403,162.58,87.38,4.69,11.88,18.12,0.69,0.0
20230102:0503,319.07,111.34,11.72,24.61,20.59,0.83,0.0
20230102:0603,432.53,117.61,18.63,37.65,22.54,1.45,0.0
20230102:0703,542.45,104.61,25.04,50.88,24.09,0.9,0.0
20230102:0803,633.43,84.5,30.17,64.19,25.71,1.38,0.0
20230102:0903,558.15,168.89,30.9,77.29,27.06,1.86,0.0
20230102:1003,590.25,150.52,32.01,85.19,28.11,1.86,0.0
20230102:1103,471.86,233.99,29.06,74.11,28.89,1.66,0.0
20230102:1203,223.86,360.56,21.64,60.9,29.38,1.59,0.0
20230102:1303,294.99,256.65,19.83,47.6,29.42,2.07,0.0
20230102:1403,289.89,182.67,15.23,34.41,28.96,2.83,0.0
20230102:1503,247.39,121.04,9.43,21.43,27.67,3.66,0.0
20230102:1603,153.92,68.4,3.37,8.8,25.75,3.52,0.0
20230102:1703,0.0,0.0,0.0,0.0,23.72,2.76,0.0
20230102:1803,0.0,0.0,0.0,0.0,22.39,1.66,0.0
20230102:1903,0.0,0.0,0.0,0.0,21.65,1.1,0.0
20230102:2003,0.0,0.0,0.0,0.0,21.44,0.76,0.0
20230102:2103,0.0,0.0,0.0,0.0,21.45,0.62,0.0
20230102:2203,0.0,0.0,0.0,0.0,20.8,0.83,0.0
20230102:2303,0.0,0.0,0.0,0.0,20.07,1.1,0.0
20230103:0003,0.0,0.0,0.0,0.0,20.06,1.17,0.0
20230103:0103,0.0,0.0,0.0,0.0,20.18,1.1,0.0
