Latitude (decimal degrees):	-27.431
Longitude (decimal degrees):	32.066
Elevation (m):	255
Radiation database:	PVGIS-SARAH3


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20230101:0003,0.0,0.0,19.39,0.97,0.0
20230101:0103,0.0,0.0,19.52,0.9,0.0
20230101:0203,0.0,0.0,19.7,0.9,0.0
20230101:0303,0.0,0.0,19.49,0.97,0.0
20230101:0403,77.92,12.01,19.97,0.9,0.0
20230101:0503,442.71,24.74,20.9,1.24,0.0
20230101:0603,271.48,37.77,21.59,1.52,0.0
20230101:0703,447.07,51.0,23.35,1.93,0.0
20230101:0803,427.11,64.31,24.18,1.66,0.0
20230101:0903,488.64,77.41,25.13,1.45,0.0
20230101:1003,508.34,85.23,25.36,1.31,0.0
20230101:1103,522.88,74.04,25.54,1.66,0.0
20230101:1203,239.91,60.83,26.0,1.72,0.0
20230101:1303,599.64,47.53,25.11,3.03,0.0
20230101:1403,177.5,34.34,24.51,3.52,0.0
20230101:1503,216.16,21.37,23.71,3.31,0.0
20230101:1603,190.37,8.75,22.73,2.69,0.0
20230101:1703,0.0,0.0,21.38,1.86,0.0
20230101:1803,0.0,0.0,20.39,1.17,0.0
20230101:1903,0.0,0.0,20.29,0.28,0.0
20230101:2003,0.0,0.0,19.76,0.62,0.0
20230101:2103,0.0,0.0,19.16,0.69,0.0
20230101:2203,0.0,0.0,18.76,0.76,0.0
20230101:2303,0.0,0.0,18.47,0.76,0.0
20230102:0003,0.0,0.0,18.29,0.69,0.0
20230102:0103,0.0,0.0,17.87,0.83,0.0
20230102:0203,0.0,0.0,17.14,1.03,0.0
20230102:0303,0.0,0.0,16.76,1.1,0.0
20230102:0403,254.65,11.88,18.12,0.69,0.0
20230102:0503,442.12,24.61,20.59,0.83,0.0
20230102:0603,568.76,37.65,22.54,1.45,0.0
20230102:0703,672.1,50.88,24.09,0.9,0.0
20230102:0803,748.09,64.19,25.71,1.38,0.0
20230102:0903,757.94,77.29,27.06,1.86,0.0
20230102:1003,772.78,85.19,28.11,1.86,0.0
20230102:1103,734.9,74.11,28.89,1.66,0.0
20230102:1203,606.06,60.9,29.38,1.59,0.0
20230102:1303,571.47,47.6,29.42,2.07,0.0
20230102:1403,487.79,34.41,28.96,2.83,0.0
20230102:1503,377.86,21.43,27.67,3.66,0.0
20230102:1603,225.69,8.8,25.75,3.52,0.0
20230102:1703,0.0,0.0,23.72,2.76,0.0
20230102:1803,0.0,0.0,22.39,1.66,0.0
20230102:1903,0.0,0.0,21.65,1.1,0.0
20230102:2003,0.0,0.0,21.44,0.76,0.0
20230102:2103,0.0,0.0,21.45,0.62,0.0
20230102:2203,0.0,0.0,20.8,0.83,0.0
20230102:2303,0.0,0.0,20.07,1.1,0.0
20230103:0003,0.0,0.0,20.06,1.17,0.0
20230103:0103,0.0,0.0,20.18,1.1,0.0
20230103:0203,0.0,0.0,20.3,0.97,0.0
20230103:0303,0.0,0.0,20.52,0.76,0.0
20230103:0403,262.8,11.75,20.47,0.83,0.0
20230103:0503,435.46,24.48,22.71,1.38,0.0
20230103:0603,541.25,37.52,24.3,1.86,0.0
20230103:0703,604.58,50.76,26.45,2.28,0.0
20230103:0803,703.36,64.06,27.83,2.55,0.0
20230103:0903,720.52,77.15,29.18,2.83,0.0
20230103:1003,764.01,85.14,30.29,3.1,0.0
20230103:1103,718.58,74.18,31.06,3.45,0.0
20230103:1203,688.27,60.98,31.14,3.72,0.0
20230103:1303,559.41,47.67,30.77,4.14,0.0
20230103:1403,389.88,34.47,29.54,4.55,0.0
20230103:1503,301.25,21.49,28.11,4.41,0.0
20230103:1603,46.06,8.85,26.37,3.86,0.0
20230103:1703,0.0,0.0,24.9,2.55,0.0
20230103:1803,0.0,0.0,23.94,2.0,0.0
20230103:1903,0.0,0.0,23.33,1.66,0.0
20230103:2003,0.0,0.0,22.64,1.38,0.0
20230103:2103,0.0,0.0,22.05,1.17,0.0
20230103:2203,0.0,0.0,21.66,1.17,0.0
20230103:2303,0.0,0.0,21.45,1.24,0.0
20230104:0003,0.0,0.0,21.42,1.31,0.0
20230104:0103,0.0,0.0,21.67,1.31,0.0
20230104:0203,0.0,0.0,21.78,1.38,0.0
20230104:0303,0.0,0.0,21.85,1.38,0.0
20230104:0403,127.12,11.61,22.29,2.0,0.0
20230104:0503,392.46,24.35,23.48,2.9,0.0
20230104:0603,538.42,37.4,25.06,3.24,0.0
20230104:0703,629.4,50.63,27.15,3.1,0.0
20230104:0803,723.43,63.94,29.39,3.17,0.0
20230104:0903,756.4,77.02,30.9,2.9,0.0
20230104:1003,762.68,85.07,31.78,2.62,0.0
20230104:1103,736.04,74.23,32.52,2.21,0.0
20230104:1203,693.32,61.05,33.17,1.86,0.0
20230104:1303,614.81,47.74,33.33,2.14,0.0
20230104:1403,93.5,34.54,32.65,2.76,0.0
20230104:1503,127.6,21.55,31.47,3.03,0.0
20230104:1603,61.52,8.9,29.29,3.24,0.0
20230104:1703,0.0,0.0,26.95,2.76,0.0
20230104:1803,0.0,0.0,25.4,2.14,0.0
20230104:1903,0.0,0.0,24.7,1.66,0.0
20230104:2003,0.0,0.0,24.02,1.45,0.0
20230104:2103,0.0,0.0,23.62,1.45,0.0
20230104:2203,0.0,0.0,23.31,1.59,0.0
20230104:2303,0.0,0.0,23.29,1.66,0.0
20230105:0003,0.0,0.0,23.26,1.52,0.0
20230105:0103,0.0,0.0,23.29,1.59,0.0
20230105:0203,0.0,0.0,23.13,2.21,0.0
20230105:0303,0.0,0.0,22.88,2.55,0.0
20230105:0403,11.47,11.48,22.82,2.76,0.0
20230105:0503,29.11,24.22,22.95,2.97,0.0
20230105:0603,170.27,37.27,23.13,3.03,0.0
20230105:0703,378.24,50.51,24.71,3.38,0.0
20230105:0803,544.89,63.81,25.44,2.9,0.0
20230105:0903,520.38,76.89,26.2,2.55,0.0
20230105:1003,537.11,84.99,26.29,2.0,0.0
20230105:1103,386.31,74.29,25.82,1.66,0.0
20230105:1203,284.45,61.11,25.79,1.86,0.0
20230105:1303,164.94,47.81,26.18,2.69,0.0
20230105:1403,185.59,34.6,25.82,2.97,0.0
